               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.014495,            0.013125,           0.0035729,             0.74343,             0.59468,             0.60117,             0.47013,                 nan,                 nan,                 nan,            0.001189,            0.001189,            0.001189
                  91,            0.014897,            0.012865,            0.002758,             0.71793,             0.58707,             0.59908,             0.46189,                 nan,                 nan,                 nan,             0.00109,             0.00109,             0.00109
                  92,            0.015123,            0.013058,            0.002834,             0.75233,             0.58096,             0.60421,             0.47153,                 nan,                 nan,                 nan,            0.000991,            0.000991,            0.000991
                  93,            0.013838,            0.012851,           0.0018349,             0.74562,             0.59468,             0.61606,             0.48894,                 nan,                 nan,                 nan,            0.000892,            0.000892,            0.000892
                  94,            0.014452,            0.013371,            0.002172,             0.74352,             0.59544,             0.61968,             0.49361,                 nan,                 nan,                 nan,            0.000793,            0.000793,            0.000793
                  95,            0.014285,            0.013131,           0.0019274,             0.73008,             0.57988,             0.60542,             0.47649,                 nan,                 nan,                 nan,            0.000694,            0.000694,            0.000694
                  96,            0.014777,            0.012964,           0.0024897,             0.70584,             0.60278,             0.60516,             0.47808,                 nan,                 nan,                 nan,            0.000595,            0.000595,            0.000595
                  97,             0.01321,            0.012499,           0.0025623,              0.7562,             0.55889,             0.60329,             0.47647,                 nan,                 nan,                 nan,            0.000496,            0.000496,            0.000496
                  98,            0.013601,            0.013218,           0.0021646,             0.71711,             0.57982,              0.5986,             0.47595,                 nan,                 nan,                 nan,            0.000397,            0.000397,            0.000397
                  99,            0.013857,            0.012419,           0.0024201,             0.69388,             0.59335,             0.60187,             0.47021,                 nan,                 nan,                 nan,            0.000298,            0.000298,            0.000298
